alpha_skill,skill_imbalance,preference_satisfaction,pareto_optimal
0.0,0.005378083333333334,0.5476190476190477,False
0.1,0.0016553222222222216,0.5952380952380952,False
0.2,0.0016553222222222216,0.5952380952380952,False
0.3,0.0016553222222222216,0.5952380952380952,False
0.4,0.0016553222222222216,0.5952380952380952,False
0.5,0.0016553222222222216,0.5952380952380952,False
0.6,0.0016553222222222216,0.5952380952380952,False
0.7,0.0016553222222222216,0.5952380952380952,False
0.8,0.002051752777777778,0.6428571428571429,True
0.9,0.001000084722222223,0.5952380952380952,True
1.0,0.0002523625000000002,0.27380952380952384,True
