method,seed,runtime_s,cost,skill_imbalance,experience_imbalance,diversity_imbalance,preference_satisfaction
random,42,8.199999865610152e-05,0.7140518238095239,0.006727241666666665,0.039999999999999994,0.2883333333333334,0.20238095238095238
random,43,3.270000161137432e-05,0.700803096031746,0.007998393055555554,0.31222222222222223,0.26999999999999996,0.20238095238095238
random,44,2.4000000848900527e-05,0.6870546365079364,0.008400563888888888,0.5122222222222224,0.27249999999999996,0.23809523809523808
random,45,1.809999957913533e-05,0.693905319047619,0.006631091666666667,0.2511111111111111,0.25666666666666665,0.17857142857142858
random,46,1.750000228639692e-05,0.7463680761904761,0.006502733333333333,0.39555555555555555,0.3274999999999999,0.21428571428571427
local_search,42,0.20119630000408506,0.3462746888888889,0.0019853388888888893,0.13999999999999996,0.08833333333333333,0.5
local_search,43,0.2314533999960986,0.36332795793650796,0.004195084722222223,0.10111111111111111,0.10250000000000001,0.5119047619047619
local_search,44,0.1598152000005939,0.3526178880952381,0.004672329166666667,0.16222222222222224,0.09583333333333334,0.5238095238095238
local_search,45,0.1731318999954965,0.3517488571428572,0.0038598333333333323,0.2677777777777778,0.1041666666666667,0.5357142857142857
local_search,46,0.15791650000028312,0.3613273396825397,0.0027723111111111116,0.2511111111111111,0.08833333333333333,0.47619047619047616
sa,42,0.5670523000007961,0.33205583492063495,0.0028949111111111116,0.18444444444444444,0.08833333333333333,0.5357142857142857
sa,43,0.5612628000017139,0.34000970476190473,0.003395283333333334,0.12888888888888883,0.08833333333333335,0.5238095238095238
sa,44,0.5662999999985914,0.3456034023809524,0.0033056125000000005,0.2066666666666667,0.08833333333333333,0.5119047619047619
sa,45,0.5625685000049998,0.3470618214285714,0.003074979166666666,0.17333333333333334,0.09666666666666666,0.5238095238095238
sa,46,0.5655698999980814,0.34620898333333333,0.0019689125000000003,0.24555555555555553,0.08833333333333333,0.5
ilp,42,10.092874299996765,0.42100169761904765,0.000637329166666667,0.21777777777777776,0.12083333333333338,0.40476190476190477
ilp,43,10.109771000003093,0.41704589126984126,0.0005412347222222222,0.15666666666666668,0.1291666666666667,0.42857142857142855
ilp,44,10.20621630000096,0.42545123015873015,0.00035090277777777767,0.056666666666666664,0.09666666666666666,0.34523809523809523
ilp,45,10.058432799996808,0.41344531825396824,0.0005339486111111113,0.14555555555555555,0.09583333333333334,0.36904761904761907
ilp,46,10.070013299999118,0.4159725150793651,0.0005705097222222223,0.16777777777777775,0.10416666666666667,0.38095238095238093
